Reviews,Delivery,Customer Service,Purchase Date,LikeliHood To Recommend,Overall Satisfaction,Location,Date Published
Online ordering was easy to do and delivery people were very polite and helpful,2,2,10 December 2017,100%,OverallSatisfied,Clacton On Sea,11 January 2018
excellent price and service,2,2,10 December 2017,100%,OverallSatisfied,Norwich,30 December 2017
"However am a little disappointed that the Samsung washing machine dryer we bought was discounted by £150 and then an additional discount code of £100 was available 8 days after we had product delivered, so could not apply for the difference due to their 7 day policy. Also I never received details for extended cover.",2,2,10 December 2017,80%,OverallSatisfied,London,28 December 2017
"Until now always tried to use local high street retailer, but not possible this time as care for elderly parents and just could not get out.  Fantastic in every way - easy  for a technotwit like me to navigate your easy to read web site, ALL your telephone operators were very helpful and POLITE, you kept me completely informed and my deep freeze arrived exactly when you said it would, delivered by such nice gentlemen, exemplary service all round, in the next year will need more things and am absolutely buying them from you, THANK YOU.",2,2,10 December 2017,100%,OverallSatisfied,Godmanchester,28 December 2017
...,2,2,10 December 2017,80%,OverallSatisfied,,25 December 2017
Easy order process from start to finish.  Kept informed of delivery time etc and arrived within time slot with a call 10 minutes before delivery to say they were on their way.,2,2,10 December 2017,100%,OverallSatisfied,Sunderland,25 December 2017
on time very professional and polite,2,2,10 December 2017,80%,OverallSatisfied,gateshead,24 December 2017
GOOD SERVICE,2,2,10 December 2017,100%,OverallSatisfied,NEATH,24 December 2017
Very good service,2,2,10 December 2017,100%,OverallSatisfied,Wigan,24 December 2017
Good value,2,2,10 December 2017,100%,OverallSatisfied,Stoke on trent,24 December 2017
Only gave an 8 because I was called a few times unnecessary.,2,2,09 December 2017,80%,OverallSatisfied,Dartford,29 December 2017
shopping with ao.com was so easy and the people I meet along the way were so helpful also your delivery drivers were so careful with my goods service is great with ao.com thank you.,2,2,09 December 2017,100%,OverallSatisfied,Tetford,26 December 2017
It couldn't have been any better. Everything as we wanted and my mother is delighted with the product.,2,2,09 December 2017,100%,OverallSatisfied,Crawley,24 December 2017
Overall the website has good  choice and prices and the service is excellent.,2,2,09 December 2017,100%,OverallSatisfied,Doncaster,24 December 2017
My whole experience of ao was excellent .,2,2,09 December 2017,100%,OverallSatisfied,Basingstoke,23 December 2017
Excellent communication,2,2,09 December 2017,90%,OverallSatisfied,Horley,23 December 2017
Kept me up to date with delivery  which was very quickly delivered when needed this item,2,2,09 December 2017,100%,OverallSatisfied,Liverpool,23 December 2017
"The two men were both very efficient and made no mess 
Well done",2,2,09 December 2017,70%,OverallSatisfied,Wetwang,23 December 2017
Credit where credit is due,2,2,09 December 2017,100%,OverallSatisfied,Bacup,23 December 2017
Delivery was suited to me and the staff that I spoke to were friendly and helpful,2,2,08 December 2017,100%,OverallSatisfied,,02 January 2018
I gave a good rating as I found the service very satisfactory,2,2,08 December 2017,90%,OverallSatisfied,Cambridge,01 January 2018
Was pleased with the ease of purchasing and the service right up to the delivery.,2,2,08 December 2017,100%,OverallSatisfied,Hackney,31 December 2017
Like a lot of people I use the internet a lot especially at Christmas. This was the first time I used ao after seeing the advert. One thing that is important at this time of year is that items come when they say. I had no problems with ao unlike some other companies I used. I would recommend using ao,2,2,08 December 2017,100%,OverallSatisfied,Sheerness kent,28 December 2017
"We bought it for our daughter, who I'm sure is very pleased with it.",2,2,08 December 2017,100%,OverallSatisfied,,25 December 2017
"Ease of use, Good communication, free delivery, good price,",2,2,08 December 2017,90%,OverallSatisfied,Leicester,23 December 2017
Experience with AO to date has been entirely good.,2,2,08 December 2017,100%,OverallSatisfied,London,23 December 2017
Not used the washing machine yet but the service from AO was second to none,2,2,08 December 2017,100%,OverallSatisfied,Porthcawl,23 December 2017
As above,2,2,08 December 2017,100%,OverallSatisfied,Blackburn,23 December 2017
Because I believe AO is an amazing company.,2,2,08 December 2017,100%,OverallSatisfied,North Wales,22 December 2017
Always buy from AO because I always get good service and the delivery service is excellent.,2,2,08 December 2017,100%,OverallSatisfied,Nottingham,22 December 2017
Pleased with overall service,2,2,08 December 2017,80%,OverallSatisfied,tamworth,22 December 2017
Very good service have bought before,2,2,08 December 2017,100%,OverallSatisfied,Newent,22 December 2017
Tv’s are amazing and again hassle free service,2,2,08 December 2017,90%,OverallSatisfied,Denny,22 December 2017
Dealt with professionally and efficiently.,2,2,07 December 2017,100%,OverallSatisfied,Lymington,20 February 2018
Performance met for all aspects,2,2,07 December 2017,100%,OverallSatisfied,Abergavenny,21 January 2018
Top class service,2,2,07 December 2017,90%,OverallSatisfied,Hull,27 December 2017
Very helpful,2,2,07 December 2017,90%,OverallSatisfied,Blackheath london,24 December 2017
Because they delivered in every area of sales and service.,2,2,07 December 2017,100%,OverallSatisfied,Falkirk,23 December 2017
As above,2,2,07 December 2017,90%,OverallSatisfied,Liverpool,22 December 2017
No problems at all.,2,2,07 December 2017,100%,OverallSatisfied,Birmingham,22 December 2017
"all went well, the item was delivered on the date and time promised",2,2,07 December 2017,90%,OverallSatisfied,wendover,22 December 2017
xcellent price and fast delivery,2,2,07 December 2017,100%,OverallSatisfied,Wales,22 December 2017
Excellent service and quick delivery couldn't ask for more,2,2,07 December 2017,100%,OverallSatisfied,Glasgow,21 December 2017
I have bought many things from AO and aways excellent products and great customer service.,2,2,07 December 2017,100%,OverallSatisfied,Selby,21 December 2017
"Efficient service, delivery on time,a joy to use.",2,2,07 December 2017,100%,OverallSatisfied,Peterborough,21 December 2017
"I gave a well deserved 10 for all the same reasons as above, friendly, professional, courteous all the way through from order to delivery. First class.",2,2,07 December 2017,100%,OverallSatisfied,Doncaster,21 December 2017
Excellent Service,2,2,07 December 2017,100%,OverallSatisfied,Solihull,21 December 2017
Ability to  choose  delivery date. Machine readily in stock. Fair price. Delivery came when expected. Polite and helpful  delivery men.  All round  excellent.,2,2,28 November 2017,100%,OverallSatisfied,Lewes,15 December 2017
"Put the order back twice. No questions asked. Great delivery service, both lads polite. No complaints whatsoever.",2,2,25 November 2017,100%,OverallSatisfied,Billingham,10 December 2017
Came on time the two deliverers were great unpacked it and placed it were we wanted they were very pleasant and happy,2,2,24 November 2017,100%,OverallSatisfied,St helens,10 December 2017
Due to delay and having to choose an alternative at short notice. It was then not delivered on the agreed date but AO did accommodate an agreed time slot for the following day,2,2,20 November 2017,70%,OverallSatisfied,Derby,06 December 2017
"excellent customer service. The delivery driver/installer. (Mathew) Five stars (I believe from Peterborough Branch) The drivers mate had a mishap, on climbing down from a step ladder.
Put is foot in a yellow bowl of water.( I kid you not) Apart from that ,I would highly recommend AO.",2,2,20 November 2017,100%,OverallSatisfied,"Norwich,Norfolk",05 December 2017
Delivery time quick. Product as expected,2,2,19 November 2017,100%,OverallSatisfied,Benfleet,03 December 2017
Overall fantastic experience,2,2,19 November 2017,100%,OverallSatisfied,,03 December 2017
"What I  wanted, delivered very quickly at a good price. What not to like!",2,2,18 November 2017,100%,OverallSatisfied,Rugby,10 December 2017
No problems - loved the tracking app - new exactly where delivery van was and how many deliveries before mine - no hanging around for hours on end - excellent service.,2,2,18 November 2017,100%,OverallSatisfied,Dysart,03 December 2017
As per above. A quality online shopping experience hence I would recommend to others.,2,2,17 November 2017,90%,OverallSatisfied,Bognor,05 December 2017
There is nothing bad I can say about the service. It was easy and efficient,2,2,17 November 2017,100%,OverallSatisfied,Middlesbrough,05 December 2017
Great and easy service.,2,2,17 November 2017,100%,OverallSatisfied,Lincolnshire,03 December 2017
The whole process was easy the delivery drivers were so careful and helpful nothing was a problem felt valued as a customer even though we are very rural,2,2,17 November 2017,100%,OverallSatisfied,Cumbria,03 December 2017
As above,2,2,17 November 2017,100%,OverallSatisfied,Derby,03 December 2017
When have I not received confirmation of my registeracion of the fridge I purchased from you  it was registered over a week ago,2,2,17 November 2017,80%,OverallSatisfied,Falkirk,02 December 2017
Because I think AO are very reasonable and would recommend them to anyone there get 5 stars from me 👍😊,2,2,17 November 2017,100%,OverallSatisfied,Hull,02 December 2017
"I gave the score based on how easy it was to complete my order,also the communication between AO and the people who delivered it was first class.AO was recommended to me by a friend and i woulc recommend them also.",2,2,16 November 2017,100%,OverallSatisfied,Dalton-in-Furness,02 December 2017
The service is great and so I will definitely use them again,2,2,16 November 2017,100%,OverallSatisfied,Whitby,01 December 2017
Excellent service from start to finish. Delivery men very pleasant and did a good job. Will definitely use again,2,2,16 November 2017,100%,OverallSatisfied,Grantham,01 December 2017
